"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","11","1276-1946-1-ND","CL10B105KP8NNNC","CAP CER 1UF 10V X7R 0603","","11","0","0.02600","0.29"
"2","6","1276-1000-1-ND","CL10B104KB8NNNC","CAP CER 0.1UF 50V X7R 0603","","6","0","0.10000","0.60"
"3","6","1276-1040-1-ND","CL10A225KO8NNNC","CAP CER 2.2UF 16V X5R 0603","","6","0","0.10000","0.60"
"4","4","1276-3104-1-ND","CL31B106KOHNFNE","CAP CER 10UF 16V X7R 1206","","4","0","0.17000","0.68"
"5","2","399-C0603C100J5GAC7867CT-ND","C0603C100J5GAC7867","CAP CER 10PF 50V C0G/NP0 0603","","2","0","0.11000","0.22"
"6","2","399-17488-1-ND","C1206C825K4PACTU","CAP CER 8.2UF 16V X5R 1206","","2","0","0.90000","1.80"
"7","2","1276-2189-1-ND","CL10C150JB81PNC","CAP CER 15PF 50V C0G/NP0 0603","","2","0","0.10000","0.20"
"8","1","1276-2208-1-ND","CL10C180JB81PNC","CAP CER 18PF 50V C0G/NP0 0603","","1","0","0.10000","0.10"
"9","1","1276-1055-1-ND","CL31B475KAHNNNE","CAP CER 4.7UF 25V X7R 1206","","1","0","0.18000","0.18"
"10","1","399-C0603C750K5HAC7867CT-ND","C0603C750K5HAC7867","CAP CER 75PF 50V X8R 0603","","1","0","0.10000","0.10"
"11","3","P24.3KHCT-ND","ERJ-3EKF2432V","RES SMD 24.3K OHM 1% 1/10W 0603","","3","0","0.10000","0.30"
"12","2","P10.0KHCT-ND","ERJ-3EKF1002V","RES SMD 10K OHM 1% 1/10W 0603","","2","0","0.10000","0.20"
"13","2","P5.10KHCT-ND","ERJ-3EKF5101V","RES SMD 5.1K OHM 1% 1/10W 0603","","2","0","0.10000","0.20"
"14","1","P56.0KHCT-ND","ERJ-3EKF5602V","RES SMD 56K OHM 1% 1/10W 0603","","1","0","0.10000","0.10"
"15","1","P19.6KHCT-ND","ERJ-3EKF1962V","RES SMD 19.6K OHM 1% 1/10W 0603","","1","0","0.10000","0.10"
"16","1","P20.0KHCT-ND","ERJ-3EKF2002V","RES SMD 20K OHM 1% 1/10W 0603","","1","0","0.10000","0.10"
"17","1","P36.5KHCT-ND","ERJ-3EKF3652V","RES SMD 36.5K OHM 1% 1/10W 0603","","1","0","0.10000","0.10"
"18","1","P330GCT-ND","ERJ-3GEYJ331V","RES SMD 330 OHM 5% 1/10W 0603","","1","0","0.10000","0.10"
"19","1","P100KHCT-ND","ERJ-3EKF1003V","RES SMD 100K OHM 1% 1/10W 0603","","1","0","0.10000","0.10"
"20","4","490-15985-1-ND","LQM21PN1R5MEHD","FIXED IND 1.5UH 1.5A 125MOHM SMD","","4","0","0.33000","1.32"
"21","1","754-1940-1-ND","APT3216LSECK/J3-PRV","LED RED CLEAR 2SMD","","1","0","0.64000","0.64"
"22","1","1965-ESP32-S2FH4CT-ND","ESP32-S2FH4","RF TXRX MODULE WIFI SMD","","1","0","1.48000","1.48"
"23","1","220-2212-1-ND","ICE40UP5K-SG48I","IC FPGA 39 I/O 48QFN","","1","0","10.10000","10.10"
"24","1","MAX20022ATIA+-ND","MAX20022ATIA+","IC REG BUCK ADJ 1A QUAD 28TQFN","","1","0","6.18000","6.18"
"25","1","50-ECS-400-10-37B2-CKY-TRCT-ND","ECS-400-10-37B2-CKY-TR","CRYSTAL 40.0000MHZ 10PF SMD","","1","0","0.38000","0.38"
"26","1","2073-USB4105-GF-ACT-ND","USB4105-GF-A","CONN RCP USB2.0 TYP C 24P SMD RA","","1","0","0.81000","0.81"